축,코드,코드명,설명,사장님기존표기,비고
색상,bg,베이지,RAL 1001,베이지BG,
색상,bl,블루,RAL 5010,블루BL,
색상,gn,그린,RAL 6005,그린GN,
색상,sv,실버,RAL 9006,실버V,
색상,gd,골드,,골드GD,
색상,kk,카키,RAL 7008,카키,
색상,at,엔틱,마감,엔틱AT,
색상,na,내추럴,마감,네추럴 NA,
색상,br,브라운,RAL 8017,브라운br,
색상,rd,레드,RAL 3020,레드RD,
색상,vt,빈티지,마감,빈티지VT,
색상,00,해당없음,부위가 없을 때 자릿수 유지용,,
부위,1,프레임,1번째 대시,,의자·소파·탁자(상판)
부위,2,등판,2번째 대시,,탁자는 다리색
부위,3,좌판·방석,3번째 대시,,
부위,4,규격,4번째 대시 (탁자·다리류 mm 4자리),,
HS코드,9401.61,목재프레임 쿠션의자,수입신고 (확신도 85%),,wo
HS코드,9401.71,금속프레임 쿠션의자,수입신고 (확신도 85%),,st·al
HS코드,9401.79,금속프레임 기타의자,수입신고 (확신도 85%),,st·al
HS코드,9401.80,기타 의자(플라스틱 등),수입신고 (확신도 85%),,pl
HS코드,9403.20,금속가구,수입신고 (확신도 85%),,탁자 st
HS코드,9403.60,기타 목재가구,수입신고 (확신도 85%),,탁자 wo
HS코드,9403.83,라탄가구,수입신고 (확신도 85%),,ra
